Unnamed: 0,prix_eur,prix_m2,type_bien,surface_m2,nb_pieces,nb_chambres,etage,dpe,adresse,code_postal,url,latitude,longitude
28,2903000,21501.0,Appartement à vendre - neuf,135.0,5.0,3.0,2ème étage,,"Raspail-Montparnasse, Paris 14ème arrondissement (75014)",75014.0,https://www.selogerneuf.com/annonces/neuf/programme/paris-75/256987275/,48.842192,2.325672
29,1140000,16286.0,Appartement à vendre - neuf,70.0,3.0,,2ème étage,,"Saint Lambert, Paris 15ème arrondissement (75015)",75015.0,https://www.selogerneuf.com/annonces/neuf/programme/paris-75/263210755/,48.837454,2.291961
0,700000,9859.0,Appartement à vendre,71.0,4.0,2.0,4 étages,,"Sentier-Bonne Nouvelle, Paris 2ème arrondissement (75002)",75002.0,https://www.seloger.com/annonces/achat/appartement/paris-2eme-75/sentier-bonne-nouvelle/272618141.htm,48.870036,2.350218
1,800000,7000.0,Duplex en viager · occupé,237.0,7.0,1.0,RDC/5,D,Paris 3ème arrondissement (75003),75003.0,https://www.seloger.com/annonces/achat/appartement/paris-3eme-75/266525275.htm,48.862489,2.359316
2,488000,10477.0,Appartement à vendre - neuf,46.6,2.0,1.0,,,"Olympiades-Choisy, Paris 13ème arrondissement (75013)",75013.0,https://www.selogerneuf.com/annonces/neuf/programme/paris-75/246082905/,48.82547,2.360601
3,580000,12946.0,Appartement à vendre - neuf,44.8,2.0,1.0,9ème étage,,"Père Lachaise-Réunion, Paris 20ème arrondissement (75020)",75020.0,https://www.selogerneuf.com/annonces/neuf/programme/paris-75/268736811/,48.864045,2.397757
4,2000000,20619.0,Appartement à vendre - neuf,97.0,5.0,4.0,,,"Hoche-Friedland, Paris 8ème arrondissement (75008)",75008.0,https://www.selogerneuf.com/annonces/neuf/programme/paris-75/223833769/,48.874378,2.30091
5,350000,7955.0,Appartement à vendre,44.0,3.0,2.0,RDC/6,C,"Salpêtrière-Austerlitz, Paris 13ème arrondissement (75013)",75013.0,https://www.seloger.com/annonces/achat/appartement/paris-13eme-75/salpetriere-austerlitz/270491709.htm,48.841038,2.369967
6,385000,10341.0,Appartement à vendre,37.2,2.0,1.0,Étage 3/6,F,"Salpêtrière-Austerlitz, Paris 13ème arrondissement (75013)",75013.0,https://www.seloger.com/annonces/achat/appartement/paris-13eme-75/salpetriere-austerlitz/271261863.htm,48.841038,2.369967
7,447500,1297.0,Appartement en viager · libre,66.0,3.0,2.0,Étage 9/13,C,"Nation-Picpus, Paris 12ème arrondissement (75012)",75012.0,https://www.seloger.com/annonces/achat/appartement/paris-12eme-75/nation-picpus/264467833.htm,48.841661,2.398288
