Unnamed: 0,prix_eur,prix_m2,type_bien,surface_m2,nb_pieces,nb_chambres,etage,dpe,adresse,code_postal,url,latitude,longitude
0.0,630000.0,9960.0,Appartement à vendre,63.3,3.0,2.0,RDC,D,"Léon-Blum Folie-Regnault, Paris 11ème arrondissement (75011)",75011.0,https://www.seloger.com/annonces/achat/appartement/paris-11eme-75/leon-blum-folie-regnault/273122571.htm,,
1.0,814000.0,7752.0,Appartement à vendre,105.0,5.0,3.0,Étage 2/6,E,"Saint Blaise, Paris 20ème arrondissement (75020)",75020.0,https://www.seloger.com/annonces/achat/appartement/paris-75/273386597.htm,,
2.0,725000.0,12719.0,Appartement à vendre,57.0,3.0,2.0,Étage 3/6,E,"Monnaie, Paris 6ème arrondissement (75006)",75006.0,https://www.seloger.com/annonces/achat/appartement/paris-75/273380327.htm,,
3.0,1090000.0,13293.0,Appartement à vendre,82.0,3.0,2.0,Étage 6/6,F,"Chaillot, Paris 16ème arrondissement (75016)",75016.0,https://www.seloger.com/annonces/achat/appartement/paris-16eme-75/chaillot/272919433.htm,,
4.0,600000.0,9524.0,Appartement à vendre,63.0,3.0,2.0,Étage 2/8,F,"Bel-Air Sud, Paris 12ème arrondissement (75012)",75012.0,https://www.seloger.com/annonces/achat/appartement/paris-75/273351983.htm,,
5.0,800000.0,8889.0,Appartement à vendre,90.0,4.0,3.0,Étage 7/9,F,"Jardin de Reuilly, Paris 12ème arrondissement (75012)",75012.0,https://www.seloger.com/annonces/achat/appartement/paris-12eme-75/jardin-de-reuilly/273351909.htm,,
6.0,365000.0,11061.0,Appartement à vendre,33.0,2.0,1.0,4ème étage,C,"Arts et Métiers, Paris 3ème arrondissement (75003)",75003.0,https://www.seloger.com/annonces/achat/appartement/paris-75/273478891.htm,,
7.0,1110000.0,12292.0,Appartement à vendre,90.3,3.0,2.0,Étage 4/9,D,"Auteuil Nord, Paris 16ème arrondissement (75016)",75016.0,https://www.seloger.com/annonces/achat/appartement/paris-75/273404081.htm,,
8.0,785000.0,11716.0,Appartement à vendre,67.0,3.0,2.0,Étage 4/5,E,"Porte Dauphine, Paris 16ème arrondissement (75016)",75016.0,https://www.seloger.com/annonces/achat/appartement/paris-75/273386955.htm,,
9.0,735000.0,13942.0,Appartement à vendre,52.7,2.0,1.0,Étage 3/6,D,"Vivienne-Gaillon, Paris 2ème arrondissement (75002)",75002.0,https://www.seloger.com/annonces/achat/appartement/paris-75/273483275.htm,,
10.0,1990000.0,16576.0,Appartement à vendre,120.1,4.0,3.0,Étage 7/9,C,"Muette Sud, Paris 16ème arrondissement (75016)",75016.0,https://www.bellesdemeures.com/273468185/detail.htm,,
11.0,1900000.0,13014.0,Appartement à vendre,146.0,5.0,3.0,Étage 2/10,C,"Raspail-Montparnasse, Paris 14ème arrondissement (75014)",75014.0,https://www.bellesdemeures.com/272453943/detail.htm,,
12.0,700000.0,14000.0,Appartement à vendre,50.0,2.0,1.0,Étage 7/7,E,"Trudaine-Maubeuge, Paris 9ème arrondissement (75009)",75009.0,https://www.seloger.com/annonces/achat/appartement/paris-9eme-75/trudaine-maubeuge/273477073.htm,,
13.0,750000.0,11538.0,Appartement à vendre,65.0,4.0,2.0,Étage 1/6,E,"La Fourche-Guy Môquet, Paris 17ème arrondissement (75017)",75017.0,https://www.seloger.com/annonces/achat/appartement/paris-17eme-75/la-fourche-guy-moquet/271652993.htm,,
14.0,494000.0,11222.0,Appartement à vendre,44.0,3.0,2.0,Étage 1/6,E,"Grandes Carrières-Clichy, Paris 18ème arrondissement (75018)",75018.0,https://www.seloger.com/annonces/achat/appartement/paris-18eme-75/grandes-carrieres-clichy/273555499.htm,,
15.0,549000.0,10976.0,Appartement à vendre,50.0,2.0,1.0,Étage 3/6,G,"Grandes Carrières-Clichy, Paris 18ème arrondissement (75018)",75018.0,https://www.seloger.com/annonces/achat/appartement/paris-18eme-75/grandes-carrieres-clichy/273555435.htm,,
16.0,283000.0,7447.0,Appartement à vendre,38.0,3.0,2.0,RDC/6,F,"Moskowa-Porte Montmartre-Porte de Clignancourt, Paris 18ème arrondissement (75018)",75018.0,https://www.seloger.com/annonces/achat/appartement/paris-18eme-75/moskowa-porte-montmartre-porte-de-clignancourt/273222315.htm,,
17.0,800000.0,10526.0,Appartement à vendre,76.0,3.0,2.0,Étage 2/4,D,"Grandes Carrières-Clichy, Paris 18ème arrondissement (75018)",75018.0,https://www.seloger.com/annonces/achat/appartement/paris-18eme-75/grandes-carrieres-clichy/272425723.htm,,
18.0,155000.0,17089.0,Studio à vendre,9.1,1.0,,Étage 6/6,D,"Ecole Militaire, Paris 7ème arrondissement (75007)",75007.0,https://www.seloger.com/annonces/achat/appartement/paris-7eme-75/ecole-militaire/273570813.htm,,
